Borough ,District ,School Code ,School Name ,School Type ,Enrollment (2017-2018) ,Capacity (2017-2018) ,Target Utilization % 2017-18 
Bronx ,8,X464 ,Success Academy Charter School - Bronx 4 - New York 2 ,Elementary ,527,347,152%
,,,,,,,
Bronx ,8,X014 ,P.S. X014 Senator John Calandra ,Elementary ,547,383,143%
,,,,,,,
Bronx ,8,X465 ,Boys Preparatory Charter School of New York ,Elementary ,338,238,142%
,,,,,,,
Bronx ,8,X345 ,Hyde Leadership Charter School ,K-12 all grades ,704,525,134%
,,,,,,,
Bronx ,8,X138 ,P.S. 138 Samuel Randall ,Elementary ,724,551,131%
,,,,,,,
Bronx ,8,X071 ,P.S. 071 Rose E. Scala ,K-8 ,"1,646","1,261",131%
,,,,,,,
Bronx ,8,X721 ,P.S. X721 - Stephen McSweeney School ,High school ,527,419,126%
,,,,,,,
Bronx ,8,X069 ,P.S. 069 Journey Prep School ,Elementary ,621,509,122%
,,,,,,,
Bronx ,8,X337 ,The School for Inquiry and Social Justice ,Junior High-Intermediate-Middle ,518,442,117%
,,,,,,,
Bronx ,8,X119 ,The Dr. Emmett W. Bassett School ,Elementary ,888,762,117%
,,,,,,,
Bronx ,8,X269 ,Bronx Studio School for Writers and Artists ,Secondary School ,643,559,115%
,,,,,,,
Bronx ,8,X301 ,M.S. 301 Paul L. Dunbar ,Junior High-Intermediate-Middle ,245,218,112%
,,,,,,,
Bronx ,8,X348 ,Schuylerville Preparatory High School ,High school ,376,338,111%
,,,,,,,
Bronx ,8,X130 ,P.S. 130 Abram Stevens Hewitt ,Elementary ,489,455,107%
,,,,,,,
Bronx ,8,X072 ,P.S. 072 Dr. William Dorney ,Elementary ,828,779,106%
,,,,,,,
Bronx ,8,X036 ,P.S. 036 Unionport ,Elementary ,760,716,106%
,,,,,,,
Bronx ,8,X152 ,P.S. 152 Evergreen ,Elementary ,833,789,106%
,,,,,,,
Bronx ,8,X304 ,P.S. 304 Early Childhood School ,Elementary ,507,489,104%
,,,,,,,
Bronx ,8,X448 ,Soundview Academy for Culture and Scholarship ,Junior High-Intermediate-Middle ,385,374,103%
,,,,,,,
Bronx ,8,X075 ,P.S. 75 School of Research and Discovery ,Elementary ,632,620,102%
,,,,,,,
Bronx ,8,X107 ,P.S. 107 ,Elementary ,514,505,102%
,,,,,,,
Bronx ,9,X170 ,P.S. 170 ,Early Childhood ,263,121,217%
,,,,,,,
Bronx ,9,X163 ,P.S. 163 Arthur A. Schomburg ,Elementary ,481,296,163%
,,,,,,,
Bronx ,9,X035 ,P.S. 035 Franz Siegel ,Elementary ,661,442,150%
,,,,,,,
Bronx ,9,X311 ,Lucero Elementary School ,Elementary ,402,284,142%
,,,,,,,
Bronx ,9,X327 ,Comprehensive Model School Project M.S. 327 ,Secondary School ,734,523,140%
,,,,,,,
Bronx ,9,X114 ,P.S. X114 - Luis Llorens Torres Schools ,Elementary ,753,622,121%
,,,,,,,
Bronx ,9,X294 ,The Walton Avenue School ,Elementary ,515,430,120%
,,,,,,,
Bronx ,9,X204 ,P.S. 204 Morris Heights ,Elementary ,630,537,117%
,,,,,,,
Bronx ,9,X241 ,"Urban Assembly School for Applied Math and Science, The ",Secondary School ,616,527,117%
,,,,,,,
Bronx ,9,X443 ,The Family School ,Elementary ,554,481,115%
,,,,,,,
Bronx ,9,X555 ,Mount Eden Children's Academy ,Elementary ,432,382,113%
,,,,,,,
Bronx ,9,X252 ,Mott Hall Bronx High School ,High school ,387,349,111%
,,,,,,,
Bronx ,9,X274 ,The New American Academy at Roberto Clemente State Park ,Elementary ,797,744,107%
,,,,,,,
Bronx ,9,X022 ,J.H.S. 022 Jordan L. Mott ,Junior High-Intermediate-Middle ,444,415,107%
,,,,,,,
Bronx ,9,X260 ,Bronx Center for Science and Mathematics ,High school ,463,438,106%
,,,,,,,
