Borough,District,Building Code,Building Name,Building Enrollment (2016-2017 Blue Book),Building Capacity (2016-2017 Blue Book),School DBN,School Name,Building Usage Plans Not Yet At Scale in 2018-2019
M,4,M155,P.S. 155 - MANHATTAN,436,589,04M377,Renaissance School of the Arts,
M,5,M010,I.S. 10 (TANDEM M200) - MANHATTAN,1433,1649,05M499,Frederick Douglass Academy,
M,5,M046,P.S. 46 - MANHATTAN,687,887,05M046,P.S. 046 Arthur Tappan,
M,5,M129,P.S. 129 - MANHATTAN,451,679,05M129,P.S. 129 John H. Finley,
M,5,M175,P.S. 175 - MANHATTAN,583,746,05M175,P.S. 175 Henry H Garnet,
M,5,M175,P.S. 175 - MANHATTAN,583,746,84M482,Success Academy Charter School - Harlem 5,
M,5,M200,P.S. 200 (TANDEM M010) - MANHATTAN,453,703,05M200,P.S. 200- The James Mccune Smith School,
M,6,M098,P.S. 98 - MANHATTAN,536,721,06M098,P.S. 098 Shorac Kappock,
M,6,M173,P.S. 173 - MANHATTAN,703,923,06M173,P.S. 173,
M,6,M173,P.S. 173 - MANHATTAN,703,923,06M349,Harbor Heights,
M,6,M189,P.S. 189 - MANHATTAN,911,1142,06M189,P.S. 189,
X,7,X001,P.S. 1 Ð BRONX,622,915,07X001,P.S. 001 Courtlandt School,
X,7,X040,P.S. 220 - BRONX,612,765,07X179,P.S. 179,
X,7,X040,P.S. 220 - BRONX,612,765,07X369,Young Leaders Elementary School,
X,7,X040,P.S. 220 - BRONX,612,765,75X352,The Vida Bogart School for All Children,
X,7,X049,P.S. 49 Ð BRONX,698,899,07X049,P.S. 049 Willis Avenue,
X,7,X049,P.S. 49 Ð BRONX,698,899,75X723,P.S. 723,
X,7,X151,I.S. 151 Ð BRONX,1304,1602,07X031,P.S./M.S. 031 The William Lloyd Garrison,
X,7,X151,I.S. 151 Ð BRONX,1304,1602,07X151,J.H.S. 151 Lou Gehrig,
X,7,X151,I.S. 151 Ð BRONX,1304,1602,84X704,KIPP Academy Charter School,
X,7,X162,I.S. 162 Ð BRONX,1346,1609,07X500,Hostos-Lincoln Academy of Science,
X,7,X162,I.S. 162 Ð BRONX,1346,1609,07X584,I.S. 584,
X,7,X162,I.S. 162 Ð BRONX,1346,1609,75X010,P.S. X010,
X,7,X162,I.S. 162 Ð BRONX,1346,1609,84X393,University Prep Charter High School,
X,7,X790[4],MOTT HAVEN EDUCATIONAL CAMPUS ,2040,2043,07X527,Bronx Leadership Academy II High School,Y
X,7,X790,MOTT HAVEN EDUCATIONAL CAMPUS ,2040,2043,07X547,New Explorers High School,Y
X,7,X790,MOTT HAVEN EDUCATIONAL CAMPUS ,2040,2043,07X548,Careers in Sports High School,Y
X,7,X790,MOTT HAVEN EDUCATIONAL CAMPUS ,2040,2043,75X188,P.S. X188,Y
X,7,X790,MOTT HAVEN EDUCATIONAL CAMPUS ,2040,2043,84X704,KIPP Academy Charter School,Y
X,7,X884,HEALTH OPPORTUNITIES HS - X,766,1065,07X427,Community School for Social Justice,
X,7,X884,HEALTH OPPORTUNITIES HS - X,766,1065,07X670,Health Opportunities High School,
X,8,X052,I.S. 302 - BRONX,1084,1345,08X302,M.S. 302 Luisa Dessus Cruz,
X,8,X052,I.S. 302 - BRONX,1084,1345,84X487,Girls Preparatory Charter School of the Bronx,
X,8,X060,P.S. 333 - BRONX,691,921,08X333,The Longwood Academy for Discovery,
X,8,X060,P.S. 333 - BRONX,691,921,75X010,P.S. X010,
X,8,X123,I.S. 123 - BRONX,866,1154,08X123,J.H.S. 123 James M. Kieran,
X,8,X123,I.S. 123 - BRONX,866,1154,08X337,The School for Inquiry and Social Justice,
X,8,X125,I.S. 125 - BRONX,1055,1310,08X119,The Dr. Emmett W. Bassett School,Y
X,8,X125,I.S. 125 - BRONX,1055,1310,08X125,J.H.S. 125 Henry Hudson,Y
X,8,X125,I.S. 125 - BRONX,1055,1310,08X562,Blueprint Middle School,Y
X,8,X650,JANE ADDAMS HS - X,864,1236,08X559,School for Tourism and Hospitality,
X,8,X650,JANE ADDAMS HS - X,864,1236,79M984,LYFE,
X,8,X650,JANE ADDAMS HS - X,864,1236,84X202,New Visions Charter High School for Advanced Math and Science II,
X,8,X650,JANE ADDAMS HS - X,864,1236,88X993,ALC - JANE ADDAMS HS,
X,9,X004[5],P.S. 4 - BRONX,946,1049,09X004,P.S./M.S. 004 Crotona Park West,
X,9,X004,P.S. 4 - BRONX,946,1049,84X133,Icahn Charter School 6,
X,9,X082,I.S. 232 - BRONX,1110,1317,09X232,I.S. 232,
X,9,X082,I.S. 232 - BRONX,1110,1317,09X303,I.S. X303 Leadership & Community Service,
X,9,X082,I.S. 232 - BRONX,1110,1317,09X365,Academy for Language and Technology,
X,9,X145[6],I.S. 145 - BRONX,922,1235,09X325,Urban Science Academy,Y
X,9,X145,I.S. 145 - BRONX,922,1235,09X328,New Millennium Business Academy Middle School,Y
X,9,X145,I.S. 145 - BRONX,922,1235,84X380,Success Academy Charter School - Bronx 3,Y
X,9,X145,I.S. 145 - BRONX,922,1235,88X985,ALC - M.S. 145,Y
X,9,X166,I.S. 166 - BRONX,1426,1666,09X324,Bronx Early College Academy for Teaching & Learning,
X,9,X166,I.S. 166 - BRONX,1426,1666,09X449,Grant Avenue Elementary School,
X,9,X166,I.S. 166 - BRONX,1426,1666,09X454,Science and Technology Academy: A Mott Hall School,
X,9,X229,P.S. 230/I.S. 229 (UDC) - BRONX,1044,1324,09X229,I.S. 229 Roland Patterson,
X,9,X229,P.S. 230/I.S. 229 (UDC) - BRONX,1044,1324,09X274,The New American Academy at Roberto Clemente State Park,
