"","dbn","latitude","longitude","postcode","accessibility","district","borough","school_name.x","year","total_enrollment","grade_pk_half_day_full_day","grade_k","grade_1","grade_2","grade_3","grade_4","grade_5","grade_6","grade_7","grade_8","grade_9","grade_10","grade_11","grade_12","female","female_1","male","male_1","asian","asian_1","black","black_1","hispanic","hispanic_1","multiple_race_categories","multiple_race_categories_1","white","white_1","students_with_disabilities","students_with_disabilities_1","english_language_learners","english_language_learners_1","poverty","poverty_1","economic_need_index","school_name.y","sharedbuilding","school_name"
"11","01M184","40.711549","-73.986542","10002","Partially Accessible","1","MANHATTAN","P.S. 184m Shuang Wen","2018-19","678","36","63","64","64","50","65","62","101","88","85","0","0","0","0","337","0.497","341","0.503","468","0.69","27","0.04","89","0.131","43","0.063","51","0.075","106","0.156","99","0.146","459","0.677","0.662","P.S. 184 Shuang Wen","1","P.S. 184m Shuang Wen (01M184)"
"12","01M188","40.719598","-73.977904","10002","Fully Accessible","1","MANHATTAN","P.S. 188 The Island School","2018-19","407","16","24","37","32","49","39","55","48","54","53","0","0","0","0","181","0.445","226","0.555","6","0.015","134","0.329","249","0.612","3","0.007","15","0.037","138","0.339","30","0.074","381","0.936","0.962","P.S. 188 The Island School","0","P.S. 188 The Island School (01M188)"
"13","01M292",NA,NA,NA,NA,NA,NA,"Orchard Collegiate Academy","2018-19","197","0","0","0","0","0","0","0","0","0","0","67","70","35","25","91","0.462","106","0.538","19","0.096","53","0.269","112","0.569","7","0.036","6","0.03","55","0.279","23","0.117","160","0.812","0.867",NA,NA,NA
"14","01M315","40.727892","-73.978525","10009","Not Accessible","1","MANHATTAN","The East Village Community School","2018-19","333","36","50","49","50","50","53","45","0","0","0","0","0","0","0","174","0.523","159","0.477","32","0.096","15","0.045","77","0.231","18","0.054","191","0.574","52","0.156","5","0.015","90","0.27","0.343","The East Village Community School",NA,NA
"15","01M332",NA,NA,NA,NA,NA,NA,"University Neighborhood Middle School","2018-19","209","0","0","0","0","0","0","0","69","77","63","0","0","0","0","90","0.431","119","0.569","18","0.086","41","0.196","131","0.627","2","0.01","17","0.081","92","0.44","7","0.033","176","0.842","0.808",NA,NA,NA
"16","01M361","40.727892","-73.978525","10009","Not Accessible","1","MANHATTAN","The Children's Workshop School","2018-19","320","36","54","47","55","43","48","37","0","0","0","0","0","0","0","149","0.466","171","0.534","31","0.097","33","0.103","127","0.397","17","0.053","112","0.35","75","0.234","11","0.034","154","0.481","0.525","The Children's Workshop School",NA,NA
"17","01M363","40.724117","-73.986381","10009","Not Accessible","1","MANHATTAN","Neighborhood School","2018-19","306","36","39","59","40","48","44","40","0","0","0","0","0","0","0","145","0.474","161","0.526","21","0.069","27","0.088","115","0.376","14","0.046","129","0.422","69","0.225","4","0.013","124","0.405","0.45","Neighborhood School",NA,NA
"18","01M364","40.72438","-73.98138","10009","Not Accessible","1","MANHATTAN","Earth School","2018-19","350","36","61","54","48","48","57","46","0","0","0","0","0","0","0","157","0.449","193","0.551","25","0.071","38","0.109","141","0.403","28","0.08","118","0.337","93","0.266","21","0.06","195","0.557","0.568","Earth School",NA,NA
"19","01M378",NA,NA,NA,NA,NA,NA,"School for Global Leaders","2018-19","250","0","0","0","0","0","0","0","63","86","101","0","0","0","0","103","0.412","147","0.588","32","0.128","59","0.236","141","0.564","8","0.032","10","0.04","95","0.38","25","0.1","211","0.844","0.843",NA,NA,NA
"20","01M448",NA,NA,NA,NA,NA,NA,"University Neighborhood High School","2018-19","483","0","0","0","0","0","0","0","0","0","0","131","139","120","93","230","0.476","253","0.524","178","0.369","94","0.195","184","0.381","5","0.01","22","0.046","81","0.168","71","0.147","419","0.867","0.82",NA,NA,NA
"21","01M450",NA,NA,NA,NA,NA,NA,"East Side Community School","2018-19","680","0","0","0","0","0","0","0","101","101","108","96","93","91","90","323","0.475","357","0.525","80","0.118","113","0.166","366","0.538","17","0.025","104","0.153","184","0.271","9","0.013","452","0.665","0.641",NA,NA,NA
"22","01M458",NA,NA,NA,NA,NA,NA,"Forsyth Satellite Academy","2018-19","194","0","0","0","0","0","0","0","0","0","0","19","46","77","52","103","0.531","91","0.469","0","0.0","84","0.433","98","0.505","4","0.021","8","0.041","62","0.32","11","0.057","163","0.84","0.848",NA,NA,NA
"23","01M509",NA,NA,NA,NA,NA,NA,"Marta Valle High School","2018-19","127","0","0","0","0","0","0","0","0","0","0","36","32","25","34","77","0.606","50","0.394","9","0.071","47","0.37","65","0.512","3","0.024","3","0.024","35","0.276","8","0.063","112","0.882","0.808",NA,NA,NA
